name,algset,case,catalog,alt1,alt2,alt3,alt4,vlink,vimg,fc,ori
OLL32,OLL,OLL 32,P Shapes,S R U R' U' R' F R f',y2 L U F' U' L' U L F L',R U B' U' R' U R B R',y' R' F R F' U' r U' r' U r U r',https://www.youtube.com/watch?v=vU6HsK3hvQs&start=208s,https://img.youtube.com/vi/vU6HsK3hvQs/0.jpg,llylyylyylllooooooyllggggggwwwwwwwwwlylrrrrrrlyybbbbbb,0
OLL33,OLL,OLL 33,T Shapes,R U R' U' R' F R F',y2 L' U' L U L F' L' F,y2 r' F' r U r U' r' F,y r U r D r' U' r D' r2',https://www.youtube.com/watch?v=vU6HsK3hvQs&start=120s,https://img.youtube.com/vi/vU6HsK3hvQs/0.jpg,llyyyyllylllooooooyylggggggwwwwwwwwwlllrrrrrrlyybbbbbb,0
OLL34,OLL,OLL 34,C Shapes,y f R f' U' r' U' R U M',y2 R U R2 U' R' F R U R U' F',y2 R U R' U' B' R' F R F' B,F R U R' U' R' F' r U R U' r',https://www.youtube.com/watch?v=vU6HsK3hvQs&start=288s,https://img.youtube.com/vi/vU6HsK3hvQs/0.jpg,ylyyyylllyllrrrrrrlylbbbbbbwwwwwwwwwllyoooooolylgggggg,0
OLL35,OLL,OLL 35,Fish Shapes,R U2 R2 F R F' R U2 R',R U2' R2' F R F' R U2' R',y2 R2' F R F' R U2' R' U R U2 R' U' R,y R2 D r' U r D' r' U' R' U M',https://www.youtube.com/watch?v=vU6HsK3hvQs&start=264s,https://img.youtube.com/vi/vU6HsK3hvQs/0.jpg,ylllyylyyllyooooooyllggggggwwwwwwwwwlylrrrrrrlylbbbbbb,0
OLL36,OLL,OLL 36,W Shapes,y2 L' U' L U' L' U L U L F' L' F,y R U R2 F' U' F U R2 U2 R',y2 R U R' F' R U R' U' R' F R U' R' F R F',y2 R' F' U' F2 U R U' R' F' R,https://www.youtube.com/watch?v=vU6HsK3hvQs&start=145s,https://img.youtube.com/vi/vU6HsK3hvQs/0.jpg,yllyyllyylyyrrrrrryllbbbbbbwwwwwwwwwllloooooolylgggggg,0
OLL37,OLL,OLL 37,Fish Shapes,F R' F' R U R U' R',F R U' R' U' R U R' F',y F' r U r' U' r' F r,y F' L F L' U' L' U L,https://www.youtube.com/watch?v=vU6HsK3hvQs&start=277s,https://img.youtube.com/vi/vU6HsK3hvQs/0.jpg,yylyylllylyyooooooyylggggggwwwwwwwwwlllrrrrrrlllbbbbbb,0
OLL38,OLL,OLL 38,W Shapes,R U R' U R U' R' U' R' F R F',y F R U' R' S U' R U R' f',y2 r' F' r U F U2 F' U' r' F' r,y2 L U L' U L U' L' U' L' B L B',https://www.youtube.com/watch?v=vU6HsK3hvQs&start=158s,https://img.youtube.com/vi/vU6HsK3hvQs/0.jpg,lyyyylyllyyloooooolylggggggwwwwwwwwwlllrrrrrrllybbbbbb,0
OLL39,OLL,OLL 39,Lightning Shapes,y' f' r U r' U' r' F r S,y L F' L' U' L U F U' L',y' R U R' F' U' F U R U2 R',y' R B' R' U' R U B U' R',https://www.youtube.com/watch?v=vU6HsK3hvQs&start=360s,https://img.youtube.com/vi/vU6HsK3hvQs/0.jpg,yyllyllyylylgggggglllrrrrrrwwwwwwwwwlyybbbbbbylloooooo,0
OLL40,OLL,OLL 40,Lightning Shapes,y R' F R U R' U' F' U R,y' f R' F' R U R U' R' S',R r D r' U r D' r' U' R',y' f l' U' l U l F' l' S',https://www.youtube.com/watch?v=vU6HsK3hvQs&start=377s,https://img.youtube.com/vi/vU6HsK3hvQs/0.jpg,lyylylyyllylggggggllyrrrrrrwwwwwwwwwyylbbbbbbllloooooo,0
OLL41,OLL,OLL 41,Awkward Shapes,y2 R U R' U R U2 R' F R U R' U' F',y2 F U R2 D R' U' R D' R2 F',y' S U' R' F' U' F U R S',y2 R' F' U' F R S' R' U R S,https://www.youtube.com/watch?v=vU6HsK3hvQs&start=622s,https://img.youtube.com/vi/vU6HsK3hvQs/0.jpg,ylylyylyllllrrrrrrylybbbbbbwwwwwwwwwlyloooooolylgggggg,0
OLL42,OLL,OLL 42,Awkward Shapes,R' U' R U' R' U2 R F R U R' U' F',y F S' R U R' U' F' U S,y R' U' F2 u' R U R' D R2 B,y R' F R F' R' F R F' R U R' U' R U R',https://www.youtube.com/watch?v=vU6HsK3hvQs&start=639s,https://img.youtube.com/vi/vU6HsK3hvQs/0.jpg,ylyyyllyllylooooooylyggggggwwwwwwwwwlllrrrrrrlylbbbbbb,0
OLL43,OLL,OLL 43,P Shapes,y R' U' F' U F R,y2 F' U' L' U L F,f' L' U' L U f,y' r' F' U' F U r,https://www.youtube.com/watch?v=vU6HsK3hvQs&start=219s,https://img.youtube.com/vi/vU6HsK3hvQs/0.jpg,yllyylyylyyyoooooolllggggggwwwwwwwwwlllrrrrrrlylbbbbbb,0
OLL44,OLL,OLL 44,P Shapes,y2 F U R U' R' F',f R U R' U' f',y R U B U' B' R',y' L U F U' F' L',https://www.youtube.com/watch?v=vU6HsK3hvQs&start=227s,https://img.youtube.com/vi/vU6HsK3hvQs/0.jpg,llylyylyyllloooooolllggggggwwwwwwwwwyyyrrrrrrlylbbbbbb,0
OLL45,OLL,OLL 45,T Shapes,F R U R' U' F',y R' F' U' F U R,y2 f U R U' R' f',y' r' U' F' U F r,https://www.youtube.com/watch?v=vU6HsK3hvQs&start=132s,https://img.youtube.com/vi/vU6HsK3hvQs/0.jpg,llyyyyllyllloooooolylggggggwwwwwwwwwylyrrrrrrlylbbbbbb,0
OLL46,OLL,OLL 46,C Shapes,R' U' R' F R F' U R,y2 r' U' F R' F' R U r,y2 L F U' R U R' F' L',y2 r' F' r' F r U' F r,https://www.youtube.com/watch?v=vU6HsK3hvQs&start=300s,https://img.youtube.com/vi/vU6HsK3hvQs/0.jpg,yyllylyylyyyoooooolllggggggwwwwwwwwwlylrrrrrrlllbbbbbb,0
OLL47,OLL,OLL 47,L Shapes,F' L' U' L U L' U' L U F,y' F R' F' R U2 R U' R' U R U2 R',R' U' R' F R F' R' F R F' U R,y2 f' U' L' U L U' L' U L f,https://www.youtube.com/watch?v=vU6HsK3hvQs&start=390s,https://img.youtube.com/vi/vU6HsK3hvQs/0.jpg,lyllyylllylyooooooyylggggggwwwwwwwwwlylrrrrrrllybbbbbb,0
OLL48,OLL,OLL 48,L Shapes,F R U R' U' R U R' U' F',y2 f U R U' R' U R U' R' f',y2 R U R' U R U2 R' U' F R U R' U' F',R U2 R' U' R U R' U2 R' F R F',https://www.youtube.com/watch?v=vU6HsK3hvQs&start=405s,https://img.youtube.com/vi/vU6HsK3hvQs/0.jpg,lylyylllllyloooooolyyggggggwwwwwwwwwylyrrrrrryllbbbbbb,0
OLL49,OLL,OLL 49,L Shapes,y2 r U' r2 U r2 U r2 U' r,R B' R2 F R2 B R2 F' R,l U' l2 U l2 U l2 U' l,R B' R2' F R2 B R2' F' R,https://www.youtube.com/watch?v=vU6HsK3hvQs&start=417s,https://img.youtube.com/vi/vU6HsK3hvQs/0.jpg,lllyyllylyyyrrrrrryllbbbbbbwwwwwwwwwllloooooolyygggggg,0
OLL50,OLL,OLL 50,L Shapes,r' U r2 U' r2 U' r2 U r',y2 R' F R2 B' R2 F' R2 B R',y2 l' U l2 U' l2 U' l2 U l',y2 R' F R2 B' R2' F' R2 B R',https://www.youtube.com/watch?v=vU6HsK3hvQs&start=429s,https://img.youtube.com/vi/vU6HsK3hvQs/0.jpg,llllyylylllloooooollyggggggwwwwwwwwwyyyrrrrrryylbbbbbb,0
OLL51,OLL,OLL 51,Line Shapes,y2 F U R U' R' U R U' R' F',f R U R' U' R U R' U' f',y' R' U' R' F R F' R U' R' U2 R,R U2' R' U2 R' F R2 U R' U' F',https://www.youtube.com/watch?v=vU6HsK3hvQs&start=529s,https://img.youtube.com/vi/vU6HsK3hvQs/0.jpg,lllyyylllllloooooolyyggggggwwwwwwwwwylyrrrrrryylbbbbbb,0
OLL52,OLL,OLL 52,Line Shapes,y2 R' F' U' F U' R U R' U R,R U R' U R U' B U' B' R',R U R' U R d' R U' R' F',R U R' U R U' y R U' R' F',https://www.youtube.com/watch?v=vU6HsK3hvQs&start=540s,https://img.youtube.com/vi/vU6HsK3hvQs/0.jpg,lyllyllylyyyggggggyllrrrrrrwwwwwwwwwlylbbbbbbllyoooooo,0
OLL53,OLL,OLL 53,L Shapes,y r' U2 R U R' U' R U R' U r,y2 l' U' L U' L' U L U' L' U2 l,r' U' R U' R' U R U' R' U2 r,y' l' U2 L U L' U' L U L' U l,https://www.youtube.com/watch?v=vU6HsK3hvQs&start=443s,https://img.youtube.com/vi/vU6HsK3hvQs/0.jpg,llllyylylylyoooooolllggggggwwwwwwwwwyyyrrrrrrlylbbbbbb,0
OLL54,OLL,OLL 54,L Shapes,r U R' U R U' R' U R U2 r',y' r U2 R' U' R U R' U' R U' r',y2 l U L' U L U' L' U L U2 l',r U R' U R U' R' U R U2' r',https://www.youtube.com/watch?v=vU6HsK3hvQs&start=458s,https://img.youtube.com/vi/vU6HsK3hvQs/0.jpg,lyllyylllylyoooooolylggggggwwwwwwwwwyyyrrrrrrlllbbbbbb,0
OLL55,OLL,OLL 55,Line Shapes,y R' F U R U' R2 F' R2 U R' U' R,y R' F R U R U' R2 F' R2 U' R' U R U R',R U2 R2 U' R U' R' U2 F R F',y F U' R2 D R' U2 R D' R2 U F',https://www.youtube.com/watch?v=vU6HsK3hvQs&start=556s,https://img.youtube.com/vi/vU6HsK3hvQs/0.jpg,lyllyllylyyyoooooolllggggggwwwwwwwwwyyyrrrrrrlllbbbbbb,0
OLL56,OLL,OLL 56,Line Shapes,r U r' U R U' R' M' U R U2 r',r U r' U R U' R' U R U' R' r U' r',F R U R' U' R F' r U R' U' r',R' F' R U' r' F r M' U' r' F2 R,https://www.youtube.com/watch?v=vU6HsK3hvQs&start=573s,https://img.youtube.com/vi/vU6HsK3hvQs/0.jpg,lllyyylllylyoooooolylggggggwwwwwwwwwylyrrrrrrlylbbbbbb,0
OLL57,OLL,OLL 57,All Corners Oriented,R U R' U' M' U R U' r',y R U' R' S' R U R' S,y R U R' S' R U' R' S,y S R' F R S' R' F' R,https://www.youtube.com/watch?v=vU6HsK3hvQs&start=109s,https://img.youtube.com/vi/vU6HsK3hvQs/0.jpg,ylyyyyylyllloooooolylggggggwwwwwwwwwlllrrrrrrlylbbbbbb,0
